username,scrobble_date,artist,track,album,insertion_date,genre
Luca1_2_3,2024-05-31 18:14:41.000,Nia Archives,Baianá,Baianá,2024-06-17 14:35:45.094,electronic
Luca1_2_3,2024-05-31 18:14:41.000,Nia Archives,Baianá,Baianá,2024-06-17 14:35:45.094,Drum and bass
Luca1_2_3,2024-05-31 18:14:41.000,Nia Archives,Baianá,Baianá,2024-06-17 14:35:45.094,jungle
Luca1_2_3,2024-05-31 18:14:41.000,Nia Archives,Baianá,Baianá,2024-06-17 14:35:45.094,Gilles Peterson
Hydraine,2021-01-06 17:48:33.000,Jack Stauber,Buttercup,Pop Food,2024-06-17 15:28:08.472,electronic
Hydraine,2021-01-06 17:48:33.000,Jack Stauber,Buttercup,Pop Food,2024-06-17 15:28:08.472,rock
Hydraine,2021-01-06 17:48:33.000,Jack Stauber,Buttercup,Pop Food,2024-06-17 15:28:08.472,power pop
Hydraine,2021-01-06 17:48:33.000,Jack Stauber,Buttercup,Pop Food,2024-06-17 15:28:08.472,Love
Hydraine,2021-01-06 17:48:33.000,Jack Stauber,Buttercup,Pop Food,2024-06-17 15:28:08.472,indietronica
rmottafc,2022-04-19 10:25:44.000,Playboi Carti,Yah Mean,Playboi Carti,2024-06-17 12:58:52.463,MySpotigramBot
rmottafc,2022-04-19 10:25:44.000,Playboi Carti,Yah Mean,Playboi Carti,2024-06-17 12:58:52.463,trap
rmottafc,2022-04-19 10:25:44.000,Playboi Carti,Yah Mean,Playboi Carti,2024-06-17 12:58:52.463,cloud rap
rmottafc,2022-04-19 10:25:44.000,Playboi Carti,Yah Mean,Playboi Carti,2024-06-17 12:58:52.463,plugg
rmottafc,2022-04-19 10:25:44.000,Playboi Carti,Yah Mean,Playboi Carti,2024-06-17 12:58:52.463,Southern Hip Hop
Daniel_Peq,2024-02-06 16:21:26.000,Charmian Carr,Sixteen Going on Seventeen,The Sound Of Music (Original Soundtrack Recording),2024-06-17 15:01:44.720,musical
Daniel_Peq,2024-02-06 16:21:26.000,Charmian Carr,Sixteen Going on Seventeen,The Sound Of Music (Original Soundtrack Recording),2024-06-17 15:01:44.720,Love
Daniel_Peq,2024-02-06 16:21:26.000,Charmian Carr,Sixteen Going on Seventeen,The Sound Of Music (Original Soundtrack Recording),2024-06-17 15:01:44.720,real
Daniel_Peq,2024-02-06 16:21:26.000,Charmian Carr,Sixteen Going on Seventeen,The Sound Of Music (Original Soundtrack Recording),2024-06-17 15:01:44.720,16
Daniel_Peq,2024-02-06 16:21:26.000,Charmian Carr,Sixteen Going on Seventeen,The Sound Of Music (Original Soundtrack Recording),2024-06-17 15:01:44.720,Sound of Music
isaaflintz,2019-05-04 17:48:02.000,Nena,99 Luftballons,99 Luftballons,2024-06-17 15:00:00.912,80s
isaaflintz,2019-05-04 17:48:02.000,Nena,99 Luftballons,99 Luftballons,2024-06-17 15:00:00.912,german
isaaflintz,2019-05-04 17:48:02.000,Nena,99 Luftballons,99 Luftballons,2024-06-17 15:00:00.912,pop
isaaflintz,2019-05-04 17:48:02.000,Nena,99 Luftballons,99 Luftballons,2024-06-17 15:00:00.912,deutsch
isaaflintz,2019-05-04 17:48:02.000,Nena,99 Luftballons,99 Luftballons,2024-06-17 15:00:00.912,new wave
vicisnotonfire,2018-10-23 17:51:19.000,Armandinho,Outra Noite Que Se Vai,Armandinho Ao Vivo,2024-06-17 15:54:30.902,reggae
vicisnotonfire,2018-10-23 17:51:19.000,Armandinho,Outra Noite Que Se Vai,Armandinho Ao Vivo,2024-06-17 15:54:30.902,summer
vicisnotonfire,2018-10-23 17:51:19.000,Armandinho,Outra Noite Que Se Vai,Armandinho Ao Vivo,2024-06-17 15:54:30.902,surf music
vicisnotonfire,2018-10-23 17:51:19.000,Armandinho,Outra Noite Que Se Vai,Armandinho Ao Vivo,2024-06-17 15:54:30.902,Love
vicisnotonfire,2018-10-23 17:51:19.000,Armandinho,Outra Noite Que Se Vai,Armandinho Ao Vivo,2024-06-17 15:54:30.902,brazil
K0KKy,2022-06-14 08:46:25.000,Dire Straits,Sultans of Swing,Dire Straits,2024-06-17 12:41:30.379,classic rock
K0KKy,2022-06-14 08:46:25.000,Dire Straits,Sultans of Swing,Dire Straits,2024-06-17 12:41:30.379,rock
K0KKy,2022-06-14 08:46:25.000,Dire Straits,Sultans of Swing,Dire Straits,2024-06-17 12:41:30.379,dire straits
K0KKy,2022-06-14 08:46:25.000,Dire Straits,Sultans of Swing,Dire Straits,2024-06-17 12:41:30.379,80s
K0KKy,2022-06-14 08:46:25.000,Dire Straits,Sultans of Swing,Dire Straits,2024-06-17 12:41:30.379,guitar
rmottafc,2022-05-26 21:49:32.000,Terno Rei,Sorte Ainda,Gêmeos,2024-06-17 12:58:18.176,2022 best tracks
KevinDoGraja,2023-07-25 14:11:23.000,GOT the beat,Stamp On It,Stamp On It - The 1st Mini Album,2024-06-17 12:45:42.081,2023
KevinDoGraja,2023-07-25 14:11:23.000,GOT the beat,Stamp On It,Stamp On It - The 1st Mini Album,2024-06-17 12:45:42.081,dem jointz
KevinDoGraja,2023-07-25 14:11:23.000,GOT the beat,Stamp On It,Stamp On It - The 1st Mini Album,2024-06-17 12:45:42.081,seulgi
KevinDoGraja,2023-07-25 14:11:23.000,GOT the beat,Stamp On It,Stamp On It - The 1st Mini Album,2024-06-17 12:45:42.081,Awesome
KevinDoGraja,2023-07-25 14:11:23.000,GOT the beat,Stamp On It,Stamp On It - The 1st Mini Album,2024-06-17 12:45:42.081,Korean
isaaflintz,2023-03-15 16:14:39.000,Camille Saint-Saëns,The Swan,The Swan,2024-06-17 14:46:35.549,Classical
isaaflintz,2023-03-15 16:14:39.000,Camille Saint-Saëns,The Swan,The Swan,2024-06-17 14:46:35.549,romantic
isaaflintz,2023-03-15 16:14:39.000,Camille Saint-Saëns,The Swan,The Swan,2024-06-17 14:46:35.549,Saint-Saens
isaaflintz,2023-03-15 16:14:39.000,Camille Saint-Saëns,The Swan,The Swan,2024-06-17 14:46:35.549,ballet
isaaflintz,2023-03-15 16:14:39.000,Camille Saint-Saëns,The Swan,The Swan,2024-06-17 14:46:35.549,classic
Luca1_2_3,2021-11-24 21:53:43.000,Titãs,Homem Primata,Cabeça Dinossauro - Edição Comemorativa 30 anos - Deluxe,2024-06-17 14:39:39.895,80s
Luca1_2_3,2021-11-24 21:53:43.000,Titãs,Homem Primata,Cabeça Dinossauro - Edição Comemorativa 30 anos - Deluxe,2024-06-17 14:39:39.895,rock
Luca1_2_3,2021-11-24 21:53:43.000,Titãs,Homem Primata,Cabeça Dinossauro - Edição Comemorativa 30 anos - Deluxe,2024-06-17 14:39:39.895,brasil
Luca1_2_3,2021-11-24 21:53:43.000,Titãs,Homem Primata,Cabeça Dinossauro - Edição Comemorativa 30 anos - Deluxe,2024-06-17 14:39:39.895,punk rock
Luca1_2_3,2021-11-24 21:53:43.000,Titãs,Homem Primata,Cabeça Dinossauro - Edição Comemorativa 30 anos - Deluxe,2024-06-17 14:39:39.895,rock nacional
Hydraine,2021-03-30 18:41:19.000,Taylor Swift,Everything Has Changed,Red (Deluxe Edition),2024-06-17 15:26:06.102,pop
Hydraine,2021-03-30 18:41:19.000,Taylor Swift,Everything Has Changed,Red (Deluxe Edition),2024-06-17 15:26:06.102,female vocalists
